"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","COMM_DELIVERY_AMOUNT","SELF_DELIVERY_AMOUNT","LOCK_AMOUNT","SELF_LOCK_AMOUNT","COMM_LOCK_AMOUNT","ORG_DELIVERY_DATE","PRE_DELIVERY_DATE","VER_DELIVERY_DATE","PERIOD","RLT_ORDER_PO_NO","VENDOR_CODE","STATE","ACTIVE_STATE","RLT_SEND_PO_NO","DELIVERY_HOUSE_TYPE","SETTLEMENT_TYPE","STAFF_ID","STAFF_NAME","SALES_ID","SALES","CONTACT_FEE","C_PRICE_TAX","ORDERAMOUNT"
140,"GC0083","昱鑫共创","0","YX10071509","101 4D28","GCRH4D28-101M","4D28 100UH +/-20%",0.56,"0",0,"可确定明细",NULL,3000,1680,0,0,0,0,0,0,"2010-07-18",NULL,NULL,"201008","P10032066","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","10","邱永池",0,0,3000
141,"GC0016","飞歌汽车音响","0","FA-PO-A2010062603","DZ03V0009R0","GCRH125-470M","125 47UH +/-20%",0.75,"1",0.17,"",NULL,2000,1500,0,0,0,0,0,0,"2010-09-05",NULL,NULL,"201008","P10032188","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,2000
142,"GC0016","飞歌汽车音响","0","FA-PO-A2010062603","DZ03V0025R0","GCRH5D28-100M","5D28 10UH",0.65,"1",0.17,"",NULL,4000,2600,0,0,0,0,0,0,"2010-09-05",NULL,NULL,"201008","P10032188","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,4000
143,"GC0016","飞歌汽车音响","0","FA-PO-A2010062603","DZ03V0033R0","GCRH5D28-470NC","5D28 47UH +/-25%",0.65,"1",0.17,"",NULL,82000,53300,0,0,0,0,0,0,"2010-09-05",NULL,NULL,"201008","P10032188","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,82000
144,"GC0016","飞歌汽车音响","0","FA-PO-A2010063002","DZ03V0009R0","GCRH125-470M","125 47UH +/-20%",0.75,"1",0.17,"",NULL,10000,7500,0,0,0,0,0,0,"2010-10-18",NULL,NULL,"201008","P10032188","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,10000
145,"GC0098","罡扇广联（税）","0","GH20100217-1","CD43-47UH","GCD43-470M","43 4*4*3 47UH +/-20%",0.25,"1",0.17,"",NULL,2000,500,0,0,0,0,0,0,"2010-08-10",NULL,NULL,"201008","P10032191","GV0006","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,2000
146,"GC0013","创力仕实业","0","1007088","FSMR-LLQ1608FR33J","LLQ1608-FR33J","要求和TOKO P/N:LLQ1608-FR33J电气性能一致,包装及编带和TOKO LLQ1608系列一致",0.535,"1",0.17,"",NULL,140000,74900,0,0,0,0,0,0,"2010-12-01",NULL,NULL,"201008","P10032236","GV0011","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,140000
147,"GC0084","维宝视","0","GH20100218","63B-561M","GCRH63B-561M-D","63B 560UH +/-20% 封胶",0.6,"0",0,"",NULL,6000,3600,0,0,0,0,0,0,"2010-07-02",NULL,NULL,"201008","P10032261","GV0006","20","ACTIVE",NULL,"1","1","8","谢冰冰","10","邱永池",0,0,6000
148,"GC0015","永佳宝实业","0","PO-2010070001","12-0200-0002E","GCD105-100M","10UH 2A",0.0779,"0",0.17,"",NULL,2000,155.8,0,0,0,0,0,0,"2010-07-01",NULL,NULL,"201008","P10032261","GV0006","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0,2000
149,"GC0011","乐视视频","0","D1007010","DG2213201","ELJPA221KF-G","3225 220UH +/-10%低内阻",0.19,"1",0.17,"",NULL,10000,1900,0,0,0,0,0,0,"2010-07-17",NULL,NULL,"201008","P10032324RVE.0","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,10000
150,"GC0011","乐视视频","0","D1008013","DG2213201","ELJPA221KF-G","3225 220UH +/-10%低内阻",0.19,"1",0.17,"",NULL,2000,380,0,0,0,0,0,0,"2010-09-07",NULL,NULL,"201008","P10032324RVE.0","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,2000
151,"GC0006","喜恩碧","0","PO1004-002","LC00022EK1","ELJFB220KF-G","4532 22UH +/-10%",0.50307075,"1",0.17,"",NULL,4000,2012.283,0,0,0,0,0,0,"2010-05-24",NULL,NULL,"201008","P10032324RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,4000
152,"GC0006","喜恩碧","0","PO1004-104","LC00022EK1","ELJFB220KF-G","4532 22UH +/-10%",0.50307075,"1",0.17,"",NULL,8000,4024.566,0,0,0,0,0,0,"2010-06-02",NULL,NULL,"201008","P10032324RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,8000
153,"GC0006","喜恩碧","0","PO1006-201","LC00022EK1","ELJFB220KF-G","4532 22UH +/-10%",0.50307075,"1",0.17,"",NULL,2000,1006.1415,0,0,0,0,0,0,"2010-08-05",NULL,NULL,"201008","P10032324RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,2000
154,"GC0006","喜恩碧","0","PO1007-044","LC00022EK1","ELJFB220KF-G","4532 22UH +/-10%",0.50307075,"1",0.17,"",NULL,16000,8049.132,0,0,0,0,0,0,"2010-08-22",NULL,NULL,"201008","P10032324RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,16000
155,"GC0006","喜恩碧","0","PO1007-160","LC00022EK1","ELJFB220KF-G","4532 22UH +/-10%",0.50307075,"1",0.17,"",NULL,8000,4024.566,0,0,0,0,0,0,"2010-09-01",NULL,NULL,"201008","P10032324RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,8000
156,"GC0115","科翔","0","100707002","ELJFC1R0JF","ELJFC1R0JF-G","2520 1.0UH +/-5%",0.01932,"0",0,"",NULL,40000,772.8,0,0,0,0,0,0,"2010-08-28",NULL,NULL,"201008","P10032324RVE.02","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0,40000
157,"GC0115","科翔","0","100707002","ELJFC100KF","ELJFC100KF-G","2520 10UH +/-10%",0.01932,"0",0,"",NULL,102000,1970.64,0,0,0,0,0,0,"2010-08-28",NULL,NULL,"201008","P10032324RVE.02","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0,102000
