"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","PERIOD","ORG_DELIVERY_DATE","VER_DELIVERY_DATE","RLT_ORDER_PO_NO","STATE","ACTIVE_STATE","RLT_REC_PO_NO","STAFF_ID","STAFF_NAME","SETTLEMENT_TYPE","CUST_C_CODE","C_PRICE_TAX","HASTEN_REMINDER"
221,"GV0003","华龙东光","0","P10032709","#FSLM2520-221J=P2","#FSLM2520-221J=P2","TOKO",0.028,"0",0,"",NULL,30000,840,0,"201008","2010-08-10",NULL,"GH20100233","04","ACTIVE",NULL,"8","谢冰冰","1","GC0121",0,NULL
222,"GV0003","华龙东光","0","P10032709","LL1608-FSL15NJ","GLE-15NJ-L-01","TOKO",0.0084,"0",0,"",NULL,52000,436.8,0,"201008","2010-08-16",NULL,"GH20100233","04","ACTIVE",NULL,"8","谢冰冰","1","GC0121",0,NULL
223,"GV0003","华龙东光","0","P10032709","#892NBS-470M=P3","#892NBS-470M=P3","TOKO",0.28,"0",0,"可确定明细",NULL,1500,420,0,"201008","2010-09-10",NULL,"GR-GD1012Z","04","ACTIVE",NULL,"8","谢冰冰","1","GC0005",0,NULL
224,"GV0003","华龙东光","0","P10032709","#126ANS-T1098Z","GLE-1098-L-01","TOKO",0.121,"0",0,"可确定明细",NULL,2000,242,0,"201008","2010-09-10",NULL,"GR-GD1012Z","04","ACTIVE",NULL,"8","谢冰冰","1","GC0005",0,NULL
225,"GV0003","华龙东光","0","P10032709","#5PLC-1055Z","GLE-1055-L-01","TOKO",0.194,"0",0,"可确定明细",NULL,2000,388,0,"201008","2010-09-10",NULL,"GR-GD1012Z","04","ACTIVE",NULL,"8","谢冰冰","1","GC0005",0,NULL
226,"GV0003","华龙东光","0","P10032709","LL1608-FSL8N2J","LL1608-FSL8N2J","TOKO\r\n",0.0084,"0",0,"可确定明细",NULL,20000,168,0,"201008","2010-09-10",NULL,"GR-GD1014Z","04","ACTIVE",NULL,"8","谢冰冰","1","GC0005",0,NULL
227,"GV0003","华龙东光","0","P10032709","#A921CY-100M=P3","GLE-100M-L-02","TOKO",0.119,"0",0,"可确定明细",NULL,15000,1785,0,"201008","2010-09-10",NULL,"GR-GD1017Z","04","ACTIVE",NULL,"8","谢冰冰","1","GC0005",0,NULL
228,"GV0003","华龙东光","0","P10032709","#875FU-682M=P3","GLE-0682-L-01","TOKO",0.097,"0",0,"可确定明细",NULL,6000,582,0,"201008","2010-09-10",NULL,"GR-GD1017Z","04","ACTIVE",NULL,"8","谢冰冰","1","GC0005",0,NULL
229,"GV0003","华龙东光","0","P10032709","#919AS-1R8N=P3","#919AS-1R8N=P3","TOKO",0.19,"0",0,"可确定明细",NULL,2500,475,0,"201008","2010-09-10",NULL,"GR-GD1017Z","04","ACTIVE",NULL,"8","谢冰冰","1","GC0005",0,NULL
230,"GV0003","华龙东光","0","P10032709","LL1608-FSL6N8J","LL1608-FSL6N8J","TOKO\r\n",0.0084,"0",0,"可确定明细",NULL,28000,235.2,0,"201008","2010-09-10",NULL,"GR-GD1017Z","04","ACTIVE",NULL,"8","谢冰冰","1","GC0005",0,NULL
